,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
4637,Al Jefferson,31-326,C-F,11/25/16,IND,,BRK,W,0,19,8,14,0.571,8,14,0.571,0,0,,0,0,,1,2,3
4638,Al Jefferson,31-328,C-F,11/27/16,IND,,LAC,W,0,21,8,17,0.471,8,17,0.471,0,0,,0,0,,3,5,8
4639,Richard Jefferson,36-266,F,3/14/17,CLE,,DET,W,1,26,5,9,0.556,1,2,0.5,4,7,0.571,2,3,0.667,0,2,2
4640,Richard Jefferson,36-264,F,3/12/17,CLE,@,HOU,L,1,31,6,6,1,2,2,1,4,4,1,0,0,,0,3,3
4641,Brandon Jennings,27-075,G,12/7/16,NYK,,CLE,L,1,31,6,14,0.429,5,11,0.455,1,3,0.333,3,3,1,0,4,4
4642,Brandon Jennings,27-136,G,2/6/17,NYK,,LAL,L,0,28,5,9,0.556,4,6,0.667,1,3,0.333,5,7,0.714,0,3,3
4643,James Johnson,29-347,F,2/1/17,MIA,,ATL,W,0,23,7,13,0.538,5,7,0.714,2,6,0.333,0,1,0,0,2,2
4644,James Johnson,29-311,F,12/27/16,MIA,,OKC,L,0,25,6,13,0.462,5,8,0.625,1,5,0.2,3,6,0.5,2,3,5
4645,Joe Johnson,35-252,G-F,3/8/17,UTA,@,HOU,W,1,32,5,10,0.5,3,5,0.6,2,5,0.4,4,4,1,0,2,2
4646,Tyler Johnson,24-273,G,2/4/17,MIA,,PHI,W,0,34,5,9,0.556,5,9,0.556,0,0,,6,8,0.75,0,6,6
4647,Tyler Johnson,24-284,G,2/15/17,MIA,@,HOU,W,0,33,6,11,0.545,4,5,0.8,2,6,0.333,2,3,0.667,4,3,7
4648,Tyler Johnson,24-308,G,3/11/17,MIA,,TOR,W,0,27,6,12,0.5,6,11,0.545,0,1,0,4,4,1,0,3,3
4649,Tyler Johnson,24-255,G,1/17/17,MIA,,HOU,W,0,34,6,17,0.353,5,13,0.385,1,4,0.25,3,5,0.6,1,1,2
4650,Tyler Johnson,24-181,G,11/4/16,MIA,@,TOR,L,0,30,5,10,0.5,1,2,0.5,4,8,0.5,2,2,1,0,4,4
4651,Nikola Jokic,21-313,C-F,12/28/16,DEN,,MIN,W,1,34,6,12,0.5,6,10,0.6,0,2,0,4,5,0.8,2,6,8
4652,Nikola Jokic,22-027,C-F,3/18/17,DEN,,HOU,L,1,22,7,14,0.5,6,12,0.5,1,2,0.5,1,1,1,2,3,5
4653,Terrence Jones,24-342,F,12/16/16,NOP,@,HOU,L,0,29,7,14,0.5,7,12,0.583,0,2,0,2,6,0.333,3,5,8
4654,DeAndre Jordan,28-120,C,11/18/16,LAC,@,SAC,W,1,37,8,10,0.8,8,10,0.8,0,0,,0,0,,1,11,12
4655,DeAndre Jordan,28-111,C,11/9/16,LAC,,POR,W,1,24,6,9,0.667,6,9,0.667,0,0,,4,8,0.5,3,6,9
4656,DeAndre Jordan,28-125,C,11/23/16,LAC,@,DAL,W,1,26,5,8,0.625,5,8,0.625,0,0,,6,9,0.667,0,8,8
4657,Cory Joseph,25-146,G,1/13/17,TOR,,BRK,W,0,22,7,7,1,6,6,1,1,1,1,1,1,1,1,3,4
4658,Cory Joseph,25-102,G,11/30/16,TOR,,MEM,W,0,28,4,8,0.5,3,5,0.6,1,3,0.333,7,8,0.875,2,6,8
4659,Frank Kaminsky,23-328,F-C,2/26/17,CHO,@,LAC,L,1,28,5,13,0.385,4,8,0.5,1,5,0.2,5,5,1,0,5,5
4660,Frank Kaminsky,23-291,F-C,1/20/17,CHO,,TOR,W,0,27,5,10,0.5,3,5,0.6,2,5,0.4,4,4,1,2,6,8
4661,Frank Kaminsky,23-332,F-C,3/2/17,CHO,@,PHO,L,1,32,7,14,0.5,5,8,0.625,2,6,0.333,0,0,,0,1,1
4662,Enes Kanter,24-177,C,11/13/16,OKC,,ORL,L,0,24,7,13,0.538,7,11,0.636,0,2,0,2,2,1,4,4,8
4663,Enes Kanter,24-295,C,3/11/17,OKC,,UTA,W,0,18,8,12,0.667,8,12,0.667,0,0,,0,0,,2,4,6
4664,Enes Kanter,24-184,C,11/20/16,OKC,,IND,L,0,25,5,9,0.556,4,7,0.571,1,2,0.5,5,6,0.833,0,4,4
4665,Enes Kanter,24-289,C,3/5/17,OKC,@,DAL,L,0,19,7,14,0.5,7,13,0.538,0,1,0,2,5,0.4,6,4,10
4666,Enes Kanter,24-163,C,10/30/16,OKC,,LAL,W,0,22,8,11,0.727,8,10,0.8,0,1,0,0,0,,1,5,6
4667,Michael Kidd-Gilchrist,23-074,F,12/9/16,CHO,,ORL,W,1,21,6,9,0.667,6,9,0.667,0,0,,4,4,1,3,4,7
4668,Sean Kilpatrick,26-324,G,11/25/16,BRK,@,IND,L,1,27,5,10,0.5,3,5,0.6,2,5,0.4,4,6,0.667,0,2,2
4669,Brandon Knight,25-068,G,2/8/17,PHO,@,MEM,L,0,26,5,11,0.455,3,7,0.429,2,4,0.5,4,4,1,1,1,2
4670,Brandon Knight,24-336,G,11/2/16,PHO,,POR,W,0,32,6,17,0.353,5,13,0.385,1,4,0.25,3,3,1,1,3,4
4671,Kosta Koufos,27-296,C,12/16/16,SAC,@,MEM,W,1,30,7,11,0.636,7,11,0.636,0,0,,2,6,0.333,7,6,13
4672,Jeremy Lamb,24-151,G-F,10/28/16,CHO,@,MIA,W,0,22,7,12,0.583,7,10,0.7,0,2,0,2,2,1,2,6,8
4673,Jeremy Lamb,24-253,G-F,2/7/17,CHO,,BRK,W,0,19,6,11,0.545,5,9,0.556,1,2,0.5,3,3,1,1,5,6
4674,Joffrey Lauvergne,25-126,C-F,2/3/17,OKC,,MEM,W,0,29,6,7,0.857,3,3,1,3,4,0.75,1,2,0.5,1,7,8
4675,Zach LaVine,21-290,G,12/25/16,MIN,@,OKC,L,1,31,5,11,0.455,2,6,0.333,3,5,0.6,3,3,1,0,1,1
4676,Ty Lawson,29-085,G,1/27/17,SAC,@,IND,L,0,23,3,7,0.429,1,4,0.25,2,3,0.667,8,8,1,1,1,2
4677,Ty Lawson,29-047,G,12/20/16,SAC,,POR,W,0,29,6,8,0.75,6,7,0.857,0,1,0,4,4,1,0,3,3
4678,Courtney Lee,31-147,G,2/27/17,NYK,,TOR,L,1,41,6,10,0.6,3,6,0.5,3,4,0.75,1,2,0.5,0,3,3
4679,Courtney Lee,31-069,G,12/11/16,NYK,@,LAL,W,1,35,4,6,0.667,1,2,0.5,3,4,0.75,5,5,1,0,0,0
4680,Courtney Lee,31-135,G,2/15/17,NYK,@,OKC,L,1,39,7,13,0.538,5,8,0.625,2,5,0.4,0,0,,0,4,4
4681,Courtney Lee,31-030,G,11/2/16,NYK,,HOU,L,1,28,7,12,0.583,5,8,0.625,2,4,0.5,0,0,,0,0,0
4682,Courtney Lee,31-116,G,1/27/17,NYK,,CHO,W,1,35,7,12,0.583,5,7,0.714,2,5,0.4,0,0,,0,3,3
4683,Courtney Lee,31-026,G,10/29/16,NYK,,MEM,W,1,34,6,11,0.545,4,7,0.571,2,4,0.5,2,2,1,0,3,3
4684,Courtney Lee,31-151,G,3/3/17,NYK,@,PHI,L,1,37,6,13,0.462,4,7,0.571,2,6,0.333,2,2,1,1,5,6
4685,Alex Len,23-146,C,11/9/16,PHO,,DET,W,1,37,7,10,0.7,7,10,0.7,0,0,,2,6,0.333,1,13,14
4686,Meyers Leonard,24-305,C-F,12/28/16,POR,,SAC,W,0,25,5,13,0.385,2,7,0.286,3,6,0.5,3,3,1,0,5,5
4687,Meyers Leonard,24-300,C-F,12/23/16,POR,,SAS,L,0,28,6,11,0.545,2,4,0.5,4,7,0.571,0,0,,1,4,5
4688,Jon Leuer,27-202,F,12/2/16,DET,@,ATL,W,0,31,5,6,0.833,1,1,1,4,5,0.8,2,3,0.667,3,6,9
4689,Jon Leuer,27-219,F,12/19/16,DET,@,CHI,L,0,21,7,9,0.778,7,8,0.875,0,1,0,2,2,1,2,3,5
4690,Caris LeVert,22-201,G-F,3/14/17,BRK,,OKC,L,1,23,4,6,0.667,3,4,0.75,1,2,0.5,7,8,0.875,1,6,7
4691,Damian Lillard,26-161,G,12/23/16,POR,,SAS,L,1,37,7,19,0.368,6,14,0.429,1,5,0.2,1,2,0.5,0,5,5
4692,Jeremy Lin,28-197,G,3/8/17,BRK,@,ATL,L,1,25,6,13,0.462,3,7,0.429,3,6,0.5,1,2,0.5,0,3,3
4693,Jeremy Lin,28-117,G,12/18/16,BRK,@,PHI,L,0,22,5,10,0.5,3,3,1,2,7,0.286,4,5,0.8,0,2,2
4694,Brook Lopez,28-266,C,12/23/16,BRK,@,CLE,L,1,22,7,11,0.636,5,8,0.625,2,3,0.667,0,0,,1,2,3
4695,Robin Lopez,28-223,C,11/10/16,CHI,@,MIA,W,1,38,8,20,0.4,8,20,0.4,0,0,,0,0,,7,2,9
4696,Kevin Love,28-085,F,12/1/16,CLE,,LAC,L,1,25,7,11,0.636,5,6,0.833,2,5,0.4,0,0,,0,4,4
4697,Kevin Love,28-157,F,2/11/17,CLE,,DEN,W,1,34,5,11,0.455,2,6,0.333,3,5,0.6,3,4,0.75,3,6,9
4698,Kyle Lowry,30-268,G,12/18/16,TOR,@,ORL,W,1,35,3,9,0.333,1,2,0.5,2,7,0.286,8,8,1,0,3,3
4699,Kyle Lowry,30-232,G,11/12/16,TOR,,NYK,W,1,41,7,15,0.467,7,10,0.7,0,5,0,2,2,1,3,3,6
4700,Kyle Lowry,30-296,G,1/15/17,TOR,,NYK,W,1,28,6,10,0.6,4,5,0.8,2,5,0.4,2,3,0.667,0,4,4
4701,Ian Mahinmi,30-132,C,3/17/17,WAS,,CHI,W,0,20,8,11,0.727,8,11,0.727,0,0,,0,0,,2,1,3
4702,Wesley Matthews,30-070,G,12/23/16,DAL,@,LAC,W,1,40,6,16,0.375,5,8,0.625,1,8,0.125,3,6,0.5,0,6,6
4703,Wesley Matthews,30-068,G,12/21/16,DAL,@,POR,W,1,41,6,16,0.375,5,9,0.556,1,7,0.143,3,5,0.6,0,4,4
4704,Wesley Matthews,30-054,G,12/7/16,DAL,,SAC,L,1,33,6,10,0.6,2,4,0.5,4,6,0.667,0,0,,0,4,4
4705,Wesley Matthews,30-052,G,12/5/16,DAL,,CHO,L,1,35,5,13,0.385,1,4,0.25,4,9,0.444,2,2,1,0,5,5
4706,C.J. McCollum,25-095,G,12/23/16,POR,,SAS,L,1,30,5,16,0.313,2,8,0.25,3,8,0.375,3,4,0.75,3,3,6
4707,C.J. McCollum,25-064,G,11/22/16,POR,@,NYK,L,1,36,6,17,0.353,5,14,0.357,1,3,0.333,3,3,1,1,4,5
4708,C.J. McCollum,25-123,G,1/20/17,POR,@,PHI,L,1,35,5,18,0.278,3,10,0.3,2,8,0.25,4,4,1,0,4,4
4709,C.J. McCollum,25-043,G,11/1/16,POR,,GSW,L,1,26,6,12,0.5,4,7,0.571,2,5,0.4,2,2,1,1,3,4
4710,C.J. McCollum,25-038,G,10/27/16,POR,,LAC,L,1,38,5,12,0.417,4,11,0.364,1,1,1,5,6,0.833,0,4,4
4711,T.J. McConnell,24-360,G,3/20/17,PHI,@,ORL,L,1,34,6,15,0.4,6,13,0.462,0,2,0,4,4,1,0,1,1
4712,Doug McDermott,25-040,F,2/12/17,CHI,@,MIN,L,1,29,6,15,0.4,2,8,0.25,4,7,0.571,0,0,,0,1,1
4713,Doug McDermott,25-056,F,2/28/17,OKC,,UTA,W,0,25,6,11,0.545,2,5,0.4,4,6,0.667,0,0,,0,5,5
4714,JaVale McGee,29-023,C,2/11/17,GSW,@,OKC,W,1,20,7,8,0.875,7,8,0.875,0,0,,2,5,0.4,3,0,3
4715,Salah Mejri,30-231,C,2/1/17,DAL,,PHI,W,0,21,7,9,0.778,7,9,0.778,0,0,,2,4,0.5,8,9,17
4716,Khris Middleton,25-215,F-G,3/15/17,MIL,@,LAC,W,1,32,4,8,0.5,3,6,0.5,1,2,0.5,7,7,1,0,7,7
4717,C.J. Miles,29-210,G-F,11/14/16,IND,,ORL,W,0,23,5,12,0.417,1,4,0.25,4,8,0.5,2,2,1,0,4,4
4718,C.J. Miles,29-289,G-F,2/1/17,IND,@,ORL,W,1,21,6,7,0.857,2,2,1,4,5,0.8,0,0,,0,4,4
4719,C.J. Miles,29-322,G-F,3/6/17,IND,@,CHO,L,1,33,6,11,0.545,2,4,0.5,4,7,0.571,0,0,,1,3,4
4720,C.J. Miles,29-197,G-F,11/1/16,IND,,LAL,W,0,23,6,9,0.667,4,6,0.667,2,3,0.667,2,2,1,1,1,2
4721,Patty Mills,28-121,G,12/10/16,SAS,,BRK,W,0,16,6,11,0.545,2,4,0.5,4,7,0.571,0,0,,0,0,0
4722,Patty Mills,28-119,G,12/8/16,SAS,@,CHI,L,0,24,6,12,0.5,2,6,0.333,4,6,0.667,0,0,,0,2,2
4723,Patty Mills,28-085,G,11/4/16,SAS,@,UTA,W,1,30,6,11,0.545,2,4,0.5,4,7,0.571,0,0,,0,3,3
4724,Paul Millsap,31-273,F,11/9/16,ATL,,CHI,W,1,34,5,13,0.385,3,10,0.3,2,3,0.667,4,4,1,0,11,11
4725,Paul Millsap,32-031,F,3/13/17,ATL,@,SAS,L,1,40,6,13,0.462,6,11,0.545,0,2,0,4,6,0.667,1,2,3
4726,Paul Millsap,31-329,F,1/4/17,ATL,@,ORL,W,1,30,6,12,0.5,4,8,0.5,2,4,0.5,2,5,0.4,0,6,6
4727,Paul Millsap,32-029,F,3/11/17,ATL,@,MEM,W,1,33,5,12,0.417,4,9,0.444,1,3,0.333,5,7,0.714,2,9,11
4728,Paul Millsap,31-358,F,2/2/17,ATL,@,HOU,W,1,29,4,8,0.5,3,4,0.75,1,4,0.25,7,8,0.875,0,4,4
4729,Paul Millsap,31-268,F,11/4/16,ATL,@,WAS,L,1,33,5,14,0.357,4,11,0.364,1,3,0.333,5,10,0.5,1,6,7
4730,Nikola Mirotic,25-263,F,10/31/16,CHI,@,BRK,W,0,25,6,14,0.429,2,4,0.5,4,10,0.4,0,0,,1,9,10
4731,Nikola Mirotic,25-328,F,1/4/17,CHI,@,CLE,W,0,26,6,12,0.5,3,5,0.6,3,7,0.429,1,1,1,0,4,4
4732,Greg Monroe,26-223,C-F,1/13/17,MIL,,MIA,W,0,25,5,13,0.385,5,13,0.385,0,0,,6,6,1,5,6,11
4733,Greg Monroe,26-152,C-F,11/3/16,MIL,,IND,W,0,26,6,11,0.545,6,11,0.545,0,0,,4,5,0.8,6,10,16
4734,Greg Monroe,26-205,C-F,12/26/16,MIL,@,WAS,L,0,22,7,10,0.7,7,10,0.7,0,0,,2,4,0.5,1,4,5
4735,E'Twaun Moore,27-302,G,12/26/16,NOP,,DAL,W,0,23,7,10,0.7,5,7,0.714,2,3,0.667,0,0,,0,1,1
4736,E'Twaun Moore,27-321,G,1/14/17,NOP,@,CHI,L,0,27,6,9,0.667,2,4,0.5,4,5,0.8,0,0,,0,1,1
4737,E'Twaun Moore,27-250,G,11/4/16,NOP,,PHO,L,1,36,5,15,0.333,4,12,0.333,1,3,0.333,5,6,0.833,0,1,1
4738,Marcus Morris,27-177,F,2/26/17,DET,,BOS,L,1,38,5,15,0.333,3,8,0.375,2,7,0.286,4,5,0.8,5,5,10
4739,Marcus Morris,27-174,F,2/23/17,DET,,CHO,W,1,38,6,17,0.353,3,13,0.231,3,4,0.75,1,1,1,1,7,8
4740,Marcus Morris,27-068,F,11/9/16,DET,@,PHO,L,1,40,5,13,0.385,4,9,0.444,1,4,0.25,5,5,1,0,3,3
4741,Marcus Morris,27-198,F,3/19/17,DET,,PHO,W,1,36,6,9,0.667,4,6,0.667,2,3,0.667,2,3,0.667,1,4,5
4742,Markieff Morris,27-094,F,12/5/16,WAS,@,BRK,W,1,33,5,9,0.556,5,8,0.625,0,1,0,6,6,1,1,4,5
4743,Timofey Mozgov,30-129,C,11/22/16,LAL,,OKC,W,1,31,6,10,0.6,6,10,0.6,0,0,,4,4,1,2,1,3
4744,Emmanuel Mudiay,20-240,G,10/31/16,DEN,@,TOR,L,1,33,6,17,0.353,5,13,0.385,1,4,0.25,3,4,0.75,1,5,6
4745,Shabazz Muhammad,24-080,F-G,2/1/17,MIN,@,CLE,L,0,31,7,16,0.438,5,13,0.385,2,3,0.667,0,0,,3,3,6
4746,Shabazz Muhammad,24-072,F-G,1/24/17,MIN,@,PHO,W,0,27,6,9,0.667,4,6,0.667,2,3,0.667,2,3,0.667,0,3,3
4747,Jamal Murray,19-354,G,2/11/17,DEN,@,CLE,L,0,17,5,11,0.455,2,4,0.5,3,7,0.429,3,3,1,0,0,0
4748,Mike Muscala,25-138,F-C,11/16/16,ATL,,MIL,W,1,33,6,11,0.545,5,8,0.625,1,3,0.333,3,4,0.75,1,4,5
4749,Mike Muscala,25-173,F-C,12/21/16,ATL,,MIN,L,0,30,6,9,0.667,3,6,0.5,3,3,1,1,1,1,2,2,4
4750,Jameer Nelson,35-006,G,2/15/17,DEN,,MIN,L,1,35,7,15,0.467,6,10,0.6,1,5,0.2,1,1,1,2,6,8
4751,Jameer Nelson,35-001,G,2/10/17,DEN,@,NYK,W,1,36,6,10,0.6,2,4,0.5,4,6,0.667,0,0,,0,4,4
4752,Jameer Nelson,35-035,G,3/16/17,DEN,,LAC,W,1,34,4,8,0.5,1,4,0.25,3,4,0.75,5,5,1,0,1,1
4753,Joakim Noah,31-253,C,11/4/16,NYK,@,CHI,W,1,35,7,11,0.636,7,10,0.7,0,1,0,2,2,1,3,6,9
4754,Nerlens Noel,22-290,C-F,1/25/17,PHI,@,MIL,W,1,28,5,9,0.556,5,9,0.556,0,0,,6,6,1,3,10,13
4755,Nerlens Noel,22-311,C-F,2/15/17,PHI,@,BOS,L,1,31,7,10,0.7,7,10,0.7,0,0,,2,2,1,3,4,7
4756,Dirk Nowitzki,38-275,F,3/21/17,DAL,,GSW,L,1,28,6,13,0.462,5,9,0.556,1,4,0.25,3,3,1,1,8,9
4757,Jusuf Nurkic,22-204,C,3/15/17,POR,@,SAS,W,1,35,7,18,0.389,7,18,0.389,0,0,,2,5,0.4,3,6,9
4758,Jusuf Nurkic,22-133,C,1/3/17,DEN,,SAC,L,0,18,6,8,0.75,6,8,0.75,0,0,,4,4,1,1,5,6
4759,Jusuf Nurkic,22-089,C,11/20/16,DEN,,UTA,W,1,26,8,12,0.667,8,12,0.667,0,0,,0,6,0,5,6,11
4760,Kyle O'Quinn,26-321,F-C,2/10/17,NYK,,DEN,L,0,22,8,9,0.889,8,8,1,0,1,0,0,0,,2,4,6
4761,Jahlil Okafor,21-084,C-F,3/9/17,PHI,@,POR,L,1,29,7,14,0.5,7,14,0.5,0,0,,2,2,1,3,5,8
4762,Jahlil Okafor,21-053,C-F,2/6/17,PHI,@,DET,L,1,26,7,11,0.636,7,11,0.636,0,0,,2,7,0.286,2,2,4
4763,Jahlil Okafor,20-353,C-F,12/2/16,PHI,,ORL,L,0,28,8,10,0.8,8,10,0.8,0,0,,0,1,0,6,7,13
4764,Jahlil Okafor,21-048,C-F,2/1/17,PHI,@,DAL,L,1,24,7,16,0.438,7,16,0.438,0,0,,2,5,0.4,0,1,1
4765,Victor Oladipo,24-252,G,1/11/17,OKC,,MEM,W,1,32,5,10,0.5,1,3,0.333,4,7,0.571,2,3,0.667,0,3,3
4766,Victor Oladipo,24-307,G,3/7/17,OKC,,POR,L,1,25,5,9,0.556,1,4,0.25,4,5,0.8,2,2,1,0,5,5
4767,Kelly Olynyk,25-283,C-F,1/27/17,BOS,,ORL,W,0,17,7,7,1,5,5,1,2,2,1,0,0,,0,5,5
4768,Kelly Olynyk,25-207,C-F,11/12/16,BOS,@,IND,W,1,28,6,13,0.462,4,7,0.571,2,6,0.333,2,4,0.5,2,4,6
4769,Kelly Olynyk,25-302,C-F,2/15/17,BOS,,PHI,W,0,26,6,8,0.75,4,6,0.667,2,2,1,2,3,0.667,1,6,7
4770,Kelly Olynyk,25-250,C-F,12/25/16,BOS,@,NYK,W,0,23,7,9,0.778,5,6,0.833,2,3,0.667,0,0,,0,2,2
4771,Zaza Pachulia,33-017,C,2/27/17,GSW,@,PHI,W,1,15,5,5,1,5,5,1,0,0,,6,7,0.857,1,4,5
4772,Jabari Parker,21-242,F,11/12/16,MIL,,MEM,W,1,34,5,16,0.313,5,12,0.417,0,4,0,6,8,0.75,1,3,4
4773,Jabari Parker,21-236,F,11/6/16,MIL,@,DAL,L,1,39,8,16,0.5,8,15,0.533,0,1,0,0,0,,1,6,7
4774,Jabari Parker,21-312,F,1/21/17,MIL,@,MIA,L,0,32,7,18,0.389,7,14,0.5,0,4,0,2,3,0.667,2,5,7
4775,Tony Parker,34-179,G,11/12/16,SAS,@,HOU,W,1,27,6,9,0.667,6,9,0.667,0,0,,4,5,0.8,0,1,1
4776,Tony Parker,34-306,G,3/19/17,SAS,,SAC,W,1,20,8,10,0.8,8,10,0.8,0,0,,0,1,0,0,3,3
4777,Tony Parker,34-257,G,1/29/17,SAS,,DAL,L,1,23,8,12,0.667,8,12,0.667,0,0,,0,1,0,0,0,0
4778,Tony Parker,34-185,G,11/18/16,SAS,@,LAL,W,1,27,6,10,0.6,5,9,0.556,1,1,1,3,3,1,1,1,2
4779,Tony Parker,34-211,G,12/14/16,SAS,,BOS,W,1,26,8,15,0.533,8,14,0.571,0,1,0,0,0,,0,2,2
4780,Chris Paul,31-228,G,12/20/16,LAC,,DEN,W,1,26,7,14,0.5,5,9,0.556,2,5,0.4,0,0,,0,8,8
4781,Chris Paul,31-209,G,12/1/16,LAC,@,CLE,W,1,25,5,11,0.455,2,4,0.5,3,7,0.429,3,3,1,2,4,6
4782,Chris Paul,31-222,G,12/14/16,LAC,@,ORL,W,1,32,5,9,0.556,4,7,0.571,1,2,0.5,5,6,0.833,1,2,3
4783,Chris Paul,31-299,G,3/1/17,LAC,,HOU,L,1,36,5,13,0.385,2,6,0.333,3,7,0.429,3,3,1,1,1,2
4784,Elfrid Payton,22-279,G,11/27/16,ORL,,MIL,L,0,29,6,9,0.667,5,6,0.833,1,3,0.333,3,4,0.75,0,3,3
4785,Elfrid Payton,22-308,G,12/26/16,ORL,,MEM,W,0,25,6,10,0.6,5,8,0.625,1,2,0.5,3,5,0.6,0,4,4
4786,Elfrid Payton,22-247,G,10/26/16,ORL,,MIA,L,1,38,4,12,0.333,4,10,0.4,0,2,0,8,8,1,2,2,4
4787,Elfrid Payton,23-012,G,3/6/17,ORL,,NYK,L,1,35,7,13,0.538,7,12,0.583,0,1,0,2,2,1,3,8,11
4788,Mason Plumlee,26-305,C-F,1/4/17,POR,@,GSW,L,1,33,6,12,0.5,6,11,0.545,0,1,0,4,5,0.8,3,7,10
4789,Mason Plumlee,26-270,C-F,11/30/16,POR,,IND,W,1,27,8,14,0.571,8,13,0.615,0,1,0,0,0,,3,6,9
4790,Otto Porter,23-288,F,3/18/17,WAS,@,CHO,L,1,33,4,11,0.364,0,2,0,4,9,0.444,4,4,1,2,1,3
4791,Bobby Portis,21-269,F,11/5/16,CHI,@,IND,L,0,18,7,9,0.778,6,8,0.75,1,1,1,1,3,0.333,2,3,5
4792,Bobby Portis,22-002,F,2/12/17,CHI,@,MIN,L,0,31,6,11,0.545,5,7,0.714,1,4,0.25,3,3,1,2,4,6
4793,Kristaps Porzingis,21-188,F-C,2/6/17,NYK,,LAL,L,1,33,5,14,0.357,4,9,0.444,1,5,0.2,5,7,0.714,1,8,9
4794,Kristaps Porzingis,21-107,F-C,11/17/16,NYK,@,WAS,L,1,37,7,16,0.438,5,11,0.455,2,5,0.4,0,0,,2,5,7
4795,Kristaps Porzingis,21-158,F-C,1/7/17,NYK,@,IND,L,1,34,5,11,0.455,1,5,0.2,4,6,0.667,2,2,1,1,3,4
4796,Kristaps Porzingis,21-084,F-C,10/25/16,NYK,@,CLE,L,1,33,5,13,0.385,2,8,0.25,3,5,0.6,3,6,0.5,4,3,7
4797,Kristaps Porzingis,21-194,F-C,2/12/17,NYK,,SAS,W,1,37,4,10,0.4,1,5,0.2,3,5,0.6,5,5,1,0,7,7
4798,Kristaps Porzingis,21-115,F-C,11/25/16,NYK,,CHO,W,1,34,6,16,0.375,2,8,0.25,4,8,0.5,0,0,,2,6,8
4799,Norman Powell,23-191,G,12/2/16,TOR,,LAL,W,1,32,7,14,0.5,5,8,0.625,2,6,0.333,0,2,0,1,6,7
4800,Norman Powell,23-244,G,1/24/17,TOR,,SAS,L,1,39,8,16,0.5,8,12,0.667,0,4,0,0,0,,0,4,4
4801,Julius Randle,22-018,F,12/17/16,LAL,@,CLE,L,1,28,8,15,0.533,8,15,0.533,0,0,,0,1,0,1,3,4
4802,Julius Randle,22-052,F,1/20/17,LAL,,IND,W,1,35,7,13,0.538,7,13,0.538,0,0,,2,3,0.667,1,4,5
4803,Zach Randolph,35-202,F,2/3/17,MEM,@,OKC,L,0,29,6,14,0.429,6,13,0.462,0,1,0,4,4,1,3,7,10
4804,Zach Randolph,35-164,F,12/27/16,MEM,@,BOS,L,0,29,6,13,0.462,6,12,0.5,0,1,0,4,4,1,5,5,10
4805,Zach Randolph,35-181,F,1/13/17,MEM,@,HOU,W,0,23,7,16,0.438,6,14,0.429,1,2,0.5,1,2,0.5,3,9,12
4806,Zach Randolph,35-214,F,2/15/17,MEM,,NOP,L,0,25,5,11,0.455,5,10,0.5,0,1,0,6,6,1,5,4,9
4807,Zach Randolph,35-160,F,12/23/16,MEM,,HOU,W,0,20,8,11,0.727,8,11,0.727,0,0,,0,0,,1,4,5
4808,Zach Randolph,35-193,F,1/25/17,MEM,,TOR,W,1,38,7,10,0.7,6,8,0.75,1,2,0.5,1,4,0.25,1,7,8
4809,Zach Randolph,35-115,F,11/8/16,MEM,,DEN,W,0,23,8,13,0.615,8,13,0.615,0,0,,0,1,0,4,4,8
4810,J.J. Redick,32-262,G,3/13/17,LAC,@,UTA,L,1,33,5,11,0.455,4,7,0.571,1,4,0.25,5,6,0.833,0,1,1
4811,J.J. Redick,32-169,G,12/10/16,LAC,,NOP,W,1,34,6,14,0.429,4,7,0.571,2,7,0.286,2,2,1,0,1,1
4812,J.J. Redick,32-222,G,2/1/17,LAC,@,PHO,W,1,31,5,13,0.385,3,6,0.5,2,7,0.286,4,4,1,0,2,2
4813,J.J. Redick,32-267,G,3/18/17,LAC,,CLE,W,1,19,6,11,0.545,4,7,0.571,2,4,0.5,2,2,1,0,1,1
4814,J.J. Redick,32-140,G,11/11/16,LAC,@,OKC,W,1,28,6,12,0.5,2,5,0.4,4,7,0.571,0,0,,0,3,3
4815,J.J. Redick,32-264,G,3/15/17,LAC,,MIL,L,1,31,4,9,0.444,2,4,0.5,2,5,0.4,6,9,0.667,0,1,1
4816,Josh Richardson,23-056,G,11/10/16,MIA,,CHI,L,0,28,6,13,0.462,2,6,0.333,4,7,0.571,0,0,,0,1,1
4817,Austin Rivers,24-144,G,12/23/16,LAC,,DAL,L,0,29,6,13,0.462,2,7,0.286,4,6,0.667,0,0,,0,0,0
4818,Austin Rivers,24-173,G,1/21/17,LAC,@,DEN,L,1,26,7,12,0.583,5,8,0.625,2,4,0.5,0,0,,1,1,2
4819,Austin Rivers,24-212,G,3/1/17,LAC,,HOU,L,0,26,6,12,0.5,2,5,0.4,4,7,0.571,0,0,,0,5,5
4820,Austin Rivers,24-168,G,1/16/17,LAC,,OKC,W,1,35,5,13,0.385,3,6,0.5,2,7,0.286,4,4,1,0,2,2
4821,Glenn Robinson,22-317,G-F,11/20/16,IND,@,OKC,W,1,45,6,14,0.429,4,9,0.444,2,5,0.4,2,2,1,2,9,11
4822,Thomas Robinson,26-004,F,3/21/17,LAL,,LAC,L,0,10,7,8,0.875,7,8,0.875,0,0,,2,2,1,2,4,6
