GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,42,11,19,8,13,3,6,9,9,1,6,7,6,2,0,0,3,34,32.6
1,35,13,25,11,15,2,10,6,7,0,9,9,7,0,1,2,2,34,26.8
1,36,14,26,14,25,0,1,6,7,0,3,3,3,2,0,1,1,34,24.6
1,38,8,18,7,14,1,4,17,17,1,5,6,4,1,0,5,3,34,24.4
1,32,12,21,5,6,7,15,3,3,1,5,6,2,2,0,1,2,34,27.9
1,38,13,20,7,12,6,8,2,2,0,9,9,4,1,1,1,2,34,30.6
1,35,13,19,12,17,1,2,7,10,1,11,12,5,5,2,6,4,34,31
1,37,10,20,4,10,6,10,8,8,0,3,3,4,1,0,0,5,34,26.7
1,37,15,26,15,26,0,0,4,6,0,5,5,4,2,1,3,3,34,23.8
1,38,14,19,11,14,3,5,3,3,7,7,14,4,3,3,0,2,34,40.4
1,36,11,23,10,20,1,3,11,13,2,2,4,3,1,2,4,3,34,22.8
1,35,13,27,10,20,3,7,5,7,1,9,10,2,1,0,1,2,34,23.5
1,34,12,22,10,14,2,8,8,9,0,2,2,10,1,0,5,3,34,25.4
1,37,14,25,13,21,1,4,5,5,0,3,3,14,4,0,3,3,34,32.6
1,42,13,23,8,14,5,9,3,3,0,0,0,6,0,0,0,0,34,27.3
1,31,14,23,12,18,2,5,4,4,2,3,5,5,1,0,3,4,34,25.7
1,30,9,16,5,9,4,7,12,12,2,3,5,11,0,1,7,2,34,29.3
1,40,12,21,11,19,1,2,9,11,2,7,9,1,1,5,2,3,34,28.8
1,37,12,21,8,14,4,7,6,7,0,9,9,6,3,2,2,4,34,31.4
1,39,15,25,15,25,0,0,4,4,4,8,12,0,0,0,1,2,34,25.9
1,42,12,23,8,19,4,4,6,7,1,7,8,0,3,3,2,6,34,25.8
1,29,12,21,8,13,4,8,6,9,2,9,11,1,2,1,2,2,34,27.6
1,38,11,26,9,15,2,11,10,11,0,1,1,4,1,0,2,1,34,21.5
1,37,14,26,14,24,0,2,6,6,1,3,4,4,0,0,4,2,34,21
1,37,15,19,13,16,2,3,2,2,1,10,11,4,1,3,3,4,34,31.7
1,36,12,22,10,17,2,5,8,8,0,5,5,4,2,1,1,1,34,29
1,33,10,20,7,11,3,9,11,11,1,1,2,7,0,0,2,2,34,27.1
1,38,12,20,8,11,4,9,6,6,0,10,10,3,2,0,2,2,34,29.1
1,44,11,25,10,20,1,5,11,12,1,9,10,5,6,1,1,1,34,32.7
1,31,11,13,7,8,4,5,8,10,1,10,11,4,2,1,5,2,34,31.9
1,33,12,21,9,15,3,6,7,7,1,8,9,3,0,0,3,5,34,24.3
1,38,13,22,10,14,3,8,5,8,0,6,6,7,1,0,3,2,34,26.5
